Police_Stn,Type,Latitude,Longitude,Time,Year,Month,Date
Grand Pass,Robbery,6.9593,79.8686,1600,2017,1,19
Kurunduwaththa,Robbery,6.9018,79.867,1325,2017,1,19
Narahenpita,Robbery,6.8832,79.8722,1530,2017,1,19
Armour_Street,Murder,6.9381,79.8635,1345,2017,1,20
Grand Pass,Theft,6.951,79.8723,1820,2017,1,20
Wellawatta,House Braking,6.8748,79.8718,1700,2017,1,20
Armour_Street,Drugs,6.9404,79.8573,730,2017,1,21
Narahenpita,Robbery,6.8948,79.8776,1630,2017,1,21
Wellawatta,Theft,6.8781,79.8678,1645,2017,1,21
Armour_Street,Theft,6.9377,79.8616,1600,2017,1,22
Borella,Robbery,6.9141,79.8837,1200,2017,1,22
Armour_Street,House Braking,6.9401,79.8619,1545,2017,1,23
Grand Pass,Robbery,6.9449,79.8664,1530,2017,1,23
Modara,Robbery,6.9769,79.8794,1215,2017,1,23
Armour_Street,Robbery,6.9366,79.8584,1750,2017,1,24
Armour_Street,Drugs,6.9405,79.8605,1445,2017,1,24
Bambalapitiya,House Braking,6.8822,79.8603,1700,2017,1,24
Kirullapone,House Braking,6.8789,79.8798,1300,2017,1,24
Kirullapone,House Braking,6.8774,79.8778,930,2017,1,24
Kollupitiya,Drugs,6.9082,79.8546,1500,2017,1,24
Maradana,Robbery,6.9246,79.8735,1710,2017,1,24
Grand Pass,Assult,6.9624,79.8736,2030,2017,1,25
Kirullapone,House Braking,6.8834,79.8805,1030,2017,1,25
Modara,Robbery,6.9712,79.8814,1230,2017,1,25
Maradana,Robbery,6.9241,79.8697,1530,2017,1,26
Modara,House Braking,6.9772,79.883,1115,2017,1,26
Grand Pass,Theft,6.9593,79.8745,1630,2017,1,27
Modara,Robbery,6.973,79.87,1640,2017,1,27
Maradana,Robbery,6.9197,79.863,1420,2017,1,28
Kirullapone,Theft,6.877,79.8755,1715,2017,1,29
Armour_Street,Theft,6.9346,79.861,1800,2017,1,30
